request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_260,7350122.02,affordable_with_plan,partial_payment,2025-02-06:7350122.02|2025-03-15:44728877.98,2025-03-15,none,Recommended partial_payment based on financial safety and preferences.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Recommended full_payment based on financial safety and preferences.
request_262,9235999.99,affordable_now,full_payment,2024-12-05:9236000.00,2024-12-05,none,Recommended full_payment based on financial safety and preferences.
request_263,3570.66,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_264,23012.52,not_affordable,not_recommended,none,2026-06-15,none,No safe payment plan found within the 90-day horizon.
request_265,45970.00,affordable_now,full_payment,2024-03-06:45970.00,2024-03-06,none,Recommended full_payment based on financial safety and preferences.
request_266,165.52,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_267,1655.79,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,Recommended installments based on financial safety and preferences.
request_268,981.40,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Recommended installments based on financial safety and preferences.
request_269,0.00,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_270,106.85,not_affordable,not_recommended,none,2026-08-15,none,No safe payment plan found within the 90-day horizon.
request_271,0.00,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_272,5649202.87,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Recommended installments based on financial safety and preferences.
request_273,9476871.09,affordable_with_plan,partial_payment,2026-04-07:9476871.09|2026-04-15:6384128.91,2026-04-15,none,Recommended partial_payment based on financial safety and preferences.
request_274,0.00,not_affordable,not_recommended,none,,none,No safe payment plan found within the 90-day horizon.
request_275,15577326.75,affordable_with_plan,full_payment,2025-05-06:15884000.00,2025-07-15,stop:event_25301,Recommended full_payment based on financial safety and preferences.
